userid,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143
168,5,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,4,NA,4,NA,NA,NA,3,5,NA,4,3,NA,3,NA,NA,NA,NA,4,NA,5,NA,3,3,NA,4,4,NA,5,3,NA,NA,NA,NA,4,3,4,NA,4,3,3,3,4,3,3,4,4,NA,3,3,3,NA,NA,4,NA,3,NA,4,4,3,5,NA,3,5,3,NA,NA,4,NA,5,5,4,NA,4,4,4,NA,4,NA,5,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4.5,NA,NA,NA,NA,NA,5,NA,NA,NA,5,3.5,5,NA,5,NA,NA,NA,5,4.5,5
170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA
171,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,3,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,3,NA,NA,NA,5,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,4,NA,NA,NA,NA,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,4,NA,3,NA,NA,4,4,3,NA,4,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,4,NA,5,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,4,4,NA,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,NA,5,3,NA,NA,NA,1,NA,NA,5,3,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,3,4,4,4,4,NA,5,4,2,NA,5,4,NA
176,2,3,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,4,NA,NA,NA,NA,2.5,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,3,NA,NA,3.5,NA,NA,NA,4,4,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,2,1,NA,NA,NA,NA,NA,4.5,4,1,1.5,2.5,NA,NA,NA,3.5,2,NA,NA,NA,4,NA,3.5,3,4,3.5,4.5,3,4,3.5,5,3,5
177,5,5,5,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5,NA,4,NA,NA,4,NA,5,NA,4,5,4,NA,5,NA,NA,NA,NA,NA,3,4,5,NA,NA,4,NA,4,NA,NA,NA,4,5,NA,NA,NA,4,NA,NA,NA,NA,3,4,5,5,5,NA,NA,NA,NA,NA,5,NA,4,4,4,NA,NA,5,NA,NA,5,NA,4,4,5,NA,NA,NA,NA,5,5,5,5,NA,5,5,NA,5,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3.5,5,NA,NA,5,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.5,NA,4,NA,NA,NA,NA,4,3,4,NA,4,NA,2.5,NA,3,5,3.5,5,NA,NA,NA,4,5,3,NA,4.5,NA,NA,NA,3,5,4,NA,NA,NA,3.5,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,3,NA,4,4.5,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5
182,NA,5,NA,NA,5,NA,3,NA,3,1,NA,5,3,NA,NA,NA,5,3,NA,5,NA,4,5,NA,NA,3,4,4,NA,1,NA,NA,NA,3,NA,4,NA,NA,3,3,NA,NA,2,5,1,4,5,3,4,NA,4,4,3,NA,4,NA,4,4,NA,5,5,3,NA,NA,5,NA,NA,5,NA,4,5,NA,3,5,5,NA,NA,5,5,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,4,2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,5,3,NA,NA,NA,NA,4,NA,5,5,4,NA,5,NA,4,NA,NA,4,3,4,5,NA,4,3,NA,3,4,NA,3,4,5,3,4,3,NA,4,NA,NA,3,NA,4,5,NA,NA,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,3,NA,4,5,4,NA,NA,NA,NA,4,NA,3,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,4,4,NA,NA,4,5,NA,NA,NA,NA,NA,4,NA,NA,4,4,4,NA,4,4,5,3,5,NA,NA,4,NA,NA,3,NA,4,NA,NA,4,NA,NA,NA,3,4,NA,NA,NA,NA,NA,4,4,3,4,NA,5,3,NA,NA,3,NA,5,5,3,4,NA,NA,NA,NA,NA,4,5,NA,NA,5,NA,NA,NA,NA,NA,NA
186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,4.5,NA,NA,4,NA,NA,3.5,5,4,NA,NA,NA,5,NA,NA,NA,4.5,NA,4.5
187,4,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,4,NA,NA,4,NA,NA,NA,NA,NA,2.5,4.5,3.5,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,5,1,5,NA,3,NA,4.5,NA,4.5,3.5,NA,NA,4,NA,NA,NA,4,NA,NA,3.5,3.5,NA,NA,NA,NA,NA,3.5,NA,4.5,NA,NA,NA,4,4.5,4,NA,NA,NA,NA,4,NA,NA,4,NA,NA,4,3.5,NA,5,NA,3.5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,3.5,NA,NA,NA,4.5,4,1,2.5,3.5,5,NA,5,5,NA,NA,2.5,NA,3,5,NA,NA,NA,NA,4,NA,1,NA,NA,NA,1,4,1
188,NA,4,NA,4,NA,NA,NA,NA,NA,NA,4,4,NA,3,3,NA,3,NA,NA,5,NA,NA,5,3,NA,2,NA,2,NA,3,NA,3,NA,NA,4,3,NA,5,NA,2,5,3,NA,3,4,4,5,4,4,3,3,5,3,NA,NA,NA,3,3,NA,4,5,5,3,5,3,NA,4,5,4,5,4,3,4,4,4,NA,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,5,5,3,5,4,3,2,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,3,NA,4,5,4,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,3,NA,NA,4,2,4,3,3,3,NA,2,NA,NA,NA,NA,NA,2,NA,5,4,NA,5,NA,NA,4,1,3,4,NA,NA,NA,NA,3,NA,2,NA,NA,3,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
192,NA,4,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,3,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,4,NA,NA,NA,5,NA,NA,NA,NA,NA,3,5,NA,NA,NA,4,4,4,NA,5,3,3,3,NA,3,NA,2,3,4,3,4,4,4,NA,5,3,NA,5,4,4,NA,5,3,3,5,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,4,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA,4,NA,NA,4,NA,3,NA,3,NA,3,NA,NA,NA,3,NA,3,NA,4,NA,4,NA,4,3,4,5,NA,5,4,3,4,NA,4,NA,3,3,3,NA,3,3,NA,NA,5,NA,NA,NA,3,NA,4,4,4,NA,NA,3,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
195,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,4,NA,3,NA,NA,NA,3,1,3,2,NA,3,NA,NA,1,NA,1,NA,NA,4,NA,5,NA,3,NA,NA,3,NA,NA,3,NA,NA,NA,NA,3,2,NA,NA,NA,3,3,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,4,NA,3,NA,2,NA,3,4,NA,4,3,3,4,NA,NA,2,NA,5,1,3,NA,3,NA,3,3,4,4,3,3,4,NA,4,4,5,3,5,5,4,4,3,NA,2,2,3,3,NA,NA,NA,4,NA,NA,5,5,3,NA,3,NA,2,NA,NA,4,NA,4,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,5,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,5,NA,NA,NA,3.5,4,4,NA,NA,4.5,NA,NA,NA,NA,2,NA,NA
199,NA,NA,4.5,2.5,NA,4,NA,NA,NA,4,3.5,NA,NA,NA,4.5,4.5,NA,NA,NA,4.5,4,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,5,NA,NA,4,4.5,5,NA,4,4.5,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,4,NA,3.5,NA,NA,NA,4.5,NA,4,NA,NA,NA,5,NA,4,4.5,NA,NA,3.5,NA,NA,NA,3.5,3,4.5,NA,NA,5,NA,NA,5,NA,5,NA,3.5,5,NA,NA,NA,5,3.5,5,NA,NA,NA,4,NA,NA,4,4.5,NA,5,4.5,NA,NA,4,4,4,NA,NA,5,3.5,NA,NA,3.5,NA,4,5,NA,NA,4,2.5,NA,NA,5,NA,NA,4,NA,4,1.5,4.5,3.5,3,NA,3.5
200,3,3.5,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,3,3.5,NA,NA,NA,NA,NA,4.5,NA,NA,3.5,4,NA,NA,4.5,NA,NA,3.5,NA,1.5,NA,NA,NA,4,1,4,NA,3.5,NA,NA,2.5,NA,NA,NA,NA,0.5,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,NA,NA,4.5,5,4.5,NA,NA,2,NA,4.5,4,4.5,NA,NA,5,NA,NA,1.5,NA,1.5,NA,4,NA,NA,NA,NA,NA,NA,4.5,4.5,NA,4.5,NA,NA,4,NA,4.5,NA,4,NA
